iter	Logloss
0	0.3426544602
1	0.1973761997
2	0.1344970153
3	0.1006099598
4	0.07838230305
5	0.06344477765
6	0.05108818707
7	0.04392897975
8	0.03718785982
9	0.03253255019
10	0.02783827954
11	0.02556784518
12	0.02347078624
13	0.02168402801
14	0.02028860917
15	0.01892347164
16	0.01773728122
17	0.01686335254
18	0.01596877704
19	0.0143784929
20	0.01374093584
21	0.01319221333
22	0.01253604674
23	0.01204714152
24	0.01163518644
25	0.01121631936
26	0.01077758836
27	0.01032897051
28	0.01000817939
29	0.009711890607
30	0.009365381421
31	0.009116724805
32	0.008874078592
33	0.008650112796
34	0.00831442964
35	0.008118409294
36	0.007940358944
37	0.00776359949
38	0.007577761873
39	0.007374808595
40	0.007183380492
41	0.007035356921
42	0.006901773247
43	0.006770774051
44	0.006636591645
45	0.006505031843
46	0.006391273962
47	0.006278741467
48	0.006097179275
49	0.005797692247
50	0.005702846759
51	0.005587705084
52	0.005469355497
53	0.00537913447
54	0.00527777704
55	0.005186734973
56	0.005095825539
57	0.005022991885
58	0.004942428958
59	0.004867154199
60	0.004796660161
61	0.004723475323
62	0.004659926569
63	0.00457536154
64	0.004504935698
65	0.004449537477
66	0.004392634104
67	0.004337606666
68	0.004269495204
69	0.004213646725
70	0.004154053626
71	0.004084172818
72	0.004018835119
73	0.003971076763
74	0.003920741178
75	0.003879631962
76	0.003833955473
77	0.003766954482
78	0.003722177432
79	0.003675512902
80	0.003625043609
81	0.003549328258
82	0.003507124143
83	0.00347033331
84	0.003433105108
85	0.003397756869
86	0.003353150041
87	0.003305080775
88	0.003264287839
89	0.003223288167
90	0.003192634733
91	0.003161409954
92	0.003099078262
93	0.00306833569
94	0.003039692973
95	0.003014460877
96	0.002982488087
97	0.002953991965
98	0.002927366678
99	0.002900590231
100	0.002872348637
101	0.002806683381
102	0.002780252749
103	0.002753507984
104	0.002728585724
105	0.002706163638
106	0.002684980094
107	0.00266226079
108	0.00263950524
109	0.002616366288
110	0.002593196727
111	0.002561937313
112	0.00254274596
113	0.002519759509
114	0.002500419144
115	0.002481809876
116	0.002463926872
117	0.002445623413
118	0.002422186168
119	0.002386077836
120	0.002369511772
121	0.002351631452
122	0.002333729922
123	0.002308918549
124	0.002290558439
125	0.002275788569
126	0.002258539468
127	0.002243097435
128	0.00222623563
129	0.002211194855
130	0.002197128964
131	0.002180938248
132	0.002165870087
133	0.002150589013
134	0.002136368204
135	0.002122806805
136	0.002108314956
137	0.002092124106
138	0.002077891214
139	0.002064166977
140	0.002049742116
141	0.002036575127
142	0.002020967302
143	0.002006330737
144	0.0019928374
145	0.00197906376
146	0.001967915007
147	0.001954399116
148	0.001940753814
149	0.001927884581
150	0.00191608568
151	0.00190272887
152	0.001881634733
153	0.001844630182
154	0.001832816381
155	0.001822838107
156	0.001798360466
157	0.00178785904
158	0.001777044288
159	0.001767210058
160	0.001757287764
161	0.001748236853
162	0.001735500119
163	0.001724826189
164	0.001715813403
165	0.001702111047
166	0.001692129417
167	0.001682351973
168	0.001673869722
169	0.001663795463
170	0.001653229063
171	0.001644103914
172	0.001635317867
173	0.001627558523
174	0.001617805244
175	0.001610237467
176	0.001602890658
177	0.001594160323
178	0.001586613623
179	0.001577827576
180	0.001562704643
181	0.00154828099
182	0.001539415873
183	0.001530237966
184	0.001523732468
185	0.001506806762
186	0.001499969814
187	0.001492501379
188	0.001485212563
189	0.001478232376
190	0.001471437312
191	0.001466158408
192	0.001459710099
193	0.001452189711
194	0.001445918604
195	0.001423128151
196	0.001416578889
197	0.001411269511
198	0.001404584662
199	0.001398656014
